,Time,Age,AgeStart,Population,Deaths
1515,1985,95-99,95,5097.5,2021
1516,1986,95-99,95,5485,2123
1517,1987,95-99,95,5931,2292
1518,1988,95-99,95,6401,2472
1519,1989,95-99,95,6913.5,2600
1520,1990,95-99,95,7475,2818
1521,1991,95-99,95,8076.5,2969
1522,1992,95-99,95,8699,3205
1523,1993,95-99,95,9413,3361
1524,1994,95-99,95,10311,3674
1525,1995,95-99,95,11383,3947
1526,1996,95-99,95,12634.5,4375
1527,1997,95-99,95,14036.5,4840
1528,1998,95-99,95,15443.5,5299
1529,1999,95-99,95,16777.5,5458
1530,2000,95-99,95,17990,5871
1531,2001,95-99,95,18970,6162
1532,2002,95-99,95,19721.5,6372
1533,2003,95-99,95,20426,6539
1534,2004,95-99,95,21388.5,6773
1535,2005,95-99,95,22651,7137
1536,2006,95-99,95,24160,7574
1537,2007,95-99,95,25939,8067
1538,2008,95-99,95,27762,8629
1539,2009,95-99,95,29256.5,9096
1540,2010,95-99,95,30405.5,9480
1541,2011,95-99,95,31355,9694
1542,2012,95-99,95,32129.5,9942
1543,2013,95-99,95,32935.5,10155
1544,2014,95-99,95,34113.5,10454
1545,2015,95-99,95,35702,10881
1546,2016,95-99,95,37652,11374
1547,2017,95-99,95,39905,12067
1548,2018,95-99,95,42154,12713
1549,2019,95-99,95,44108,13239
1550,2020,95-99,95,46106.5,13151
1551,2021,95-99,95,47499.5,14848
1552,2022,95-99,95,48244,14326
1553,2023,95-99,95,49370.5,14598
